N1,N2,N10,N100
0,2.05725,0.527162,0.948239,0.835265
1,1.5563,0.0505729,0.814501,0.796701
2,1.38183,1.22659,1.27463,0.884977
3,2.9286,1.84242,0.855319,1.15445
4,0.532694,1.25799,1.03121,1.11421
5,0.295061,0.286028,0.540303,1.06391
6,0.440821,0.870534,0.76438,0.899492
7,1.2888,0.986826,0.646026,0.970301
8,1.73615,0.263736,0.942343,1.08318
9,0.696492,0.592214,0.739638,0.801488
10,1.00352,1.64099,0.717191,1.02087
11,2.17189,0.183536,0.89949,0.937049
12,0.325537,0.72879,0.834405,1.0962
13,0.0533393,1.84659,0.654455,1.13754
14,0.0354691,0.831546,0.988472,0.969471
15,0.665771,0.840187,0.414845,0.951835
16,0.96948,0.709237,0.745112,0.940396
17,0.188407,0.472988,1.24348,1.00164
18,4.34924,0.617527,1.19545,0.996725
19,0.223867,2.15032,1.59421,0.91889
20,0.459618,0.344138,1.33475,1.09931
21,0.433113,0.126057,1.05383,0.984849
22,1.49645,1.10541,0.960679,0.951249
23,1.21576,0.766683,0.430924,1.02648
24,4.89107,1.52996,0.764715,0.951644
25,0.256691,0.239956,1.33441,0.993089
26,0.98468,1.49512,1.4966,1.05011
27,0.236503,0.756028,0.986691,0.880008
28,0.699683,0.111751,1.09404,1.18102
29,0.248234,1.75483,1.36709,0.982543
30,0.191074,0.356602,1.5051,1.04488
31,2.33745,1.89483,0.874996,1.12551
32,0.313834,0.733854,0.934026,0.901506
33,2.40891,0.770684,0.91232,0.915498
34,1.94315,0.659807,1.1306,0.962454
35,0.676389,0.596276,1.35419,0.953402
36,0.0233585,1.57055,1.32384,0.92727
37,2.26601,0.835048,0.77059,0.980994
38,0.0738212,0.609038,1.29879,1.16596
39,0.0051703,0.743541,0.753071,1.03361
40,0.162278,1.7073,0.881964,1.07441
41,0.108618,1.99737,0.622756,1.04988
42,0.201131,0.702578,0.923044,0.971723
43,2.30014,1.03029,0.672186,0.960889
44,1.74899,0.693014,0.849524,0.943715
45,0.779965,2.57606,0.910922,0.988226
46,0.66391,0.469362,0.782974,1.00194
47,0.0294754,1.19556,1.87586,0.785889
48,0.238748,0.486847,0.99795,1.01215
49,1.58658,1.29972,0.999902,1.06167
50,0.246198,0.972764,0.628556,1.20985
51,0.354576,0.867024,0.554529,0.86421
52,1.29245,1.77692,1.23515,0.860797
53,0.478671,1.21974,1.04225,0.864883
54,2.09318,0.144207,0.575622,1.17412
55,0.968001,0.678442,1.09899,1.0782
56,0.0762793,0.523358,0.965044,0.828992
57,1.92224,1.75214,1.17046,0.97731
58,2.65035,0.920469,0.857501,0.916583
59,2.144,0.386004,0.651865,0.874442
60,0.0600886,0.806209,0.561872,1.06819
61,0.677263,0.163384,1.14355,1.06345
62,0.045356,0.883237,1.03637,1.1497
63,0.274525,0.805301,0.924958,0.986862
64,0.909413,1.52167,1.21409,0.979252
65,1.1452,1.25937,1.24049,1.12189
66,3.27735,0.902564,1.30024,0.863576
67,0.313526,0.948986,0.926914,1.08133
