I,errore
-0.00658982,0
-0.00337088,0.00321894
-0.00153395,0.00261308
-0.00373877,0.00287669
0.00023645,0.00455715
-0.00102656,0.00392941
-0.00497878,0.00516225
-0.00442634,0.00450464
-0.00292799,0.00424589
-0.00313759,0.00380342
-0.00331821,0.00344506
-0.00356124,0.00315427
-0.00424202,0.0029803
-0.00555643,0.0030563
-0.00478,0.0029493
-0.0038771,0.00290281
-0.00393083,0.00272725
-0.00337825,0.00262998
-0.00383608,0.00252949
-0.00379948,0.00239996
-0.00263056,0.00256469
-0.00285762,0.00245585
-0.00267448,0.00235379
-0.00242473,0.00226738
-0.00210955,0.00219751
-0.00231179,0.00212096
-0.00191395,0.00207931
-0.00207301,0.00200998
-0.00186152,0.00195093
-0.00188515,0.00188493
-0.00183102,0.00182391
-0.00109725,0.00191237
-0.0013798,0.00187493
-0.00114774,0.00183369
-0.0012651,0.00178439
-0.00125815,0.00173413
-0.00128775,0.00168687
-0.000983552,0.00166982
-0.00064517,0.00166127
-0.000325355,0.00165049
-0.000462311,0.00161554
-0.000145373,0.00160815
-6.79231e-05,0.00157222
6.39346e-05,0.00154172
0.000303147,0.00152593
0.000430635,0.00149783
0.000760847,0.00150235
0.000621424,0.00147731
0.000623885,0.00144685
0.000351543,0.00144354
0.000211543,0.00142186
0.000249943,0.00139478
0.00020568,0.00136893
-1.95599e-05,0.00136209
-0.000209164,0.00135047
-0.00026176,0.00132718
-0.00013885,0.00130947
-0.000175691,0.00128722
3.52457e-05,0.00128268
0.000226518,0.00127554
1.33807e-05,0.00127244
3.42884e-05,0.00125192
0.000141507,0.00123654
1.71982e-05,0.0012234
0.000338804,0.00124663
0.000326218,0.00122766
0.000490155,0.00122026
0.000638562,0.00121131
0.000572102,0.00119547
0.000289041,0.00121179
0.000352901,0.00119631
0.000462713,0.00118468
0.000524467,0.00116997
0.000386056,0.00116232
0.000475282,0.00115018
0.000226396,0.00116192
-3.7259e-05,0.00117665
-6.83213e-05,0.00116188
2.14014e-05,0.00115058
-2.30078e-05,0.00113698
0.000139932,0.00113461
8.5966e-05,0.00112199
0.000278887,0.00112505
0.000269161,0.00111162
0.000174869,0.00110251
0.000202462,0.00108996
7.52425e-05,0.00108484
0.000275038,0.0010909
0.000365954,0.0010824
0.000472032,0.00107554
0.00060458,0.00107189
0.00075613,0.00107095
0.000675354,0.00106245
0.000435699,0.00107806
0.000420248,0.00106676
0.000193461,0.00107968
0.000222841,0.00106889
0.000213572,0.00105797
0.000204793,0.00104727
0.000185184,0.00103693
