RMS,Errore
0,0
1,1.29048e-09
1.41982,0.0430866
1.74284,0.0609974
2.01515,0.0747315
2.25925,0.0867782
2.47235,0.0973941
2.66715,0.107718
2.8571,0.116058
3.02853,0.124557
3.19209,0.130821
3.35166,0.138852
3.49734,0.14588
3.64303,0.153078
3.76932,0.158983
3.90559,0.164361
4.02985,0.170294
4.15691,0.17733
4.28466,0.183019
4.39566,0.187141
4.49854,0.19245
4.61258,0.196255
4.72574,0.201502
4.82298,0.206709
4.91381,0.210303
5.00577,0.213537
5.10004,0.216812
5.19645,0.220809
5.29078,0.223474
5.38685,0.227952
5.47608,0.231546
5.58204,0.237488
5.66974,0.24373
5.75706,0.247735
5.84602,0.250278
5.92725,0.253348
6.00983,0.257262
6.09069,0.261768
6.16559,0.264447
6.2499,0.267362
6.33341,0.271111
6.41332,0.273901
6.48151,0.277792
6.56112,0.281553
6.62481,0.28442
6.69458,0.288159
6.77125,0.290544
6.83543,0.292432
6.90592,0.294221
6.97319,0.297299
7.04664,0.302574
7.11333,0.303923
7.18596,0.308095
7.25116,0.309562
7.31842,0.31098
7.3837,0.314336
7.4656,0.318803
7.5312,0.322906
7.59396,0.325724
7.6633,0.329535
7.71731,0.331474
7.77881,0.333249
7.84649,0.336036
7.91321,0.338884
7.98163,0.342297
8.05462,0.347416
8.10521,0.346751
8.16325,0.349207
8.22166,0.349966
8.28515,0.352323
8.34569,0.355771
8.40902,0.359887
8.46532,0.363098
8.52568,0.36609
8.58668,0.369643
8.65049,0.372795
8.71441,0.375304
8.76739,0.376785
8.82442,0.377595
8.88429,0.379899
8.9295,0.382574
8.99588,0.38442
9.05225,0.385946
9.10016,0.387754
9.14829,0.390057
9.19445,0.391405
9.24988,0.394109
9.30761,0.396452
9.36399,0.398012
9.41283,0.400142
9.46433,0.402527
9.51855,0.403116
9.56594,0.404343
9.61735,0.406486
9.66283,0.407725
9.70499,0.41003
9.75448,0.412196
9.81416,0.415089
9.85937,0.415419
9.8999,0.418326
