Call,Err_Call,Put,Err_Put
12.0237,0,6.16143,0
14.0216,1.99788,4.93291,1.22852
14.4743,1.23912,5.14914,0.741517
14.3467,0.885432,4.8584,0.599541
14.2495,0.692705,4.9421,0.471885
14.2278,0.566006,5.05756,0.402219
14.6142,0.614904,5.02826,0.341197
14.7982,0.563415,5.15345,0.32091
14.7306,0.501454,5.08512,0.291149
15.0477,0.549288,5.03714,0.264793
15.2417,0.533375,5.09469,0.24633
15.2739,0.487964,5.08183,0.225234
15.4942,0.500008,5.07588,0.207271
15.6426,0.486115,5.1444,0.203761
15.5106,0.471404,5.25077,0.21748
15.2703,0.502166,5.29687,0.208593
15.2724,0.471708,5.26912,0.197894
15.2008,0.450472,5.31401,0.191901
14.9739,0.482712,5.44827,0.225777
15.1382,0.486506,5.39741,0.220147
15.2199,0.469916,5.34454,0.215974
15.1407,0.454994,5.37807,0.208634
15.1055,0.436182,5.47523,0.221773
15.1356,0.418695,5.4483,0.214033
15.0736,0.406363,5.41531,0.207926
15.0832,0.39054,5.40553,0.200008
14.9491,0.399003,5.42508,0.193448
14.8766,0.391271,5.43169,0.186528
14.9032,0.378477,5.41673,0.180602
14.866,0.36753,5.41601,0.174479
14.9095,0.358128,5.42117,0.168836
15.0811,0.386881,5.37522,0.16981
15.1357,0.378921,5.3877,0.165056
15.2173,0.376567,5.33522,0.168508
15.2803,0.371038,5.30792,0.165885
15.255,0.361474,5.34281,0.164944
15.1936,0.35689,5.34806,0.16051
15.1261,0.353858,5.40693,0.166955
15.1066,0.345217,5.38367,0.164274
15.0415,0.342715,5.36436,0.161275
15.063,0.334944,5.37455,0.157622
14.9913,0.33466,5.365,0.154119
14.92,0.334467,5.38467,0.151772
14.9919,0.334598,5.36239,0.149948
14.9583,0.328806,5.38334,0.148067
14.88,0.330971,5.41641,0.14854
14.8074,0.331886,5.46308,0.152654
14.8408,0.326612,5.44459,0.150579
14.8242,0.320308,5.47839,0.151297
14.7427,0.324234,5.53003,0.156979
14.7476,0.317851,5.54139,0.154289
14.7415,0.311738,5.51414,0.153727
14.7906,0.309713,5.50657,0.150988
14.8497,0.309621,5.46456,0.154007
14.8324,0.304431,5.46065,0.151232
14.7987,0.30084,5.48166,0.149985
14.7966,0.295522,5.4836,0.147343
14.7941,0.290393,5.49749,0.145445
14.7642,0.286987,5.54787,0.151578
14.715,0.286422,5.58455,0.153478
14.6785,0.28405,5.58392,0.150942
14.7031,0.280514,5.60477,0.149945
14.7022,0.276027,5.61067,0.147663
14.7034,0.271682,5.59604,0.146072
14.6917,0.267727,5.57885,0.144831
14.6943,0.263653,5.57472,0.14268
14.6833,0.25992,5.59109,0.141484
14.6471,0.258614,5.59283,0.139399
14.5943,0.260264,5.58982,0.137397
14.6123,0.257148,5.61277,0.137351
14.6491,0.256168,5.60181,0.135845
14.63,0.253307,5.60881,0.134128
14.6369,0.249909,5.60304,0.132403
14.6658,0.24819,5.58508,0.131832
14.6895,0.246001,5.58849,0.130107
14.6896,0.242743,5.58591,0.128409
14.7082,0.24029,5.57288,0.127398
14.7647,0.243816,5.56527,0.125984
14.7356,0.242455,5.56354,0.124391
14.722,0.239792,5.57645,0.123502
14.7003,0.237808,5.57425,0.121988
14.6832,0.235508,5.55523,0.121983
14.7368,0.238734,5.53461,0.122256
14.7459,0.236053,5.53655,0.120808
14.743,0.233277,5.52163,0.120307
14.7363,0.230646,5.52959,0.119167
14.7539,0.228652,5.5244,0.117903
14.7819,0.227772,5.51876,0.116692
14.7835,0.225204,5.53179,0.116107
14.8215,0.225897,5.52086,0.115329
14.8303,0.223574,5.50501,0.115151
14.8309,0.221131,5.49857,0.114074
14.8312,0.218741,5.48846,0.113293
14.8367,0.216469,5.48356,0.112188
14.8211,0.21474,5.484,0.111002
14.8059,0.213041,5.48623,0.109862
14.7944,0.211145,5.48044,0.108877
14.7947,0.208979,5.49053,0.108233
14.8216,0.208606,5.46892,0.109293
14.7842,0.209873,5.49505,0.111305
